"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         192,      -3.859525824,      -3.062820674,      -3.124969357,      -1.818509348,      -9.878298563
          0,           0,         193,      -3.856714284,      -3.060032963,      -3.120830815,      -1.815674033,      -9.875563369
          0,           0,         194,       -3.85402005,      -3.057270852,      -3.116598918,      -1.812945792,      -9.872911703
          0,           0,         195,      -3.851456055,      -3.054573011,      -3.112315347,      -1.810334684,      -9.870290558
          0,           0,         196,      -3.849035836,      -3.051977712,      -3.108026801,      -1.807851729,      -9.867678791
          0,           0,         197,      -3.846772964,      -3.049520276,      -3.103783151,      -1.805508486,       -9.86505061
          0,           0,         198,      -3.844680368,      -3.047230707,      -3.099635449,      -1.803316508,      -9.862437909
          0,           0,         199,      -3.842769588,       -3.04513167,      -3.095633928,      -1.801286687,      -9.859989992
          0,           0,         200,      -3.841049986,      -3.043236906,        -3.0918261,      -1.799428521,      -9.857692087
          0,           0,         201,      -3.839527981,      -3.041550172,      -3.088255047,      -1.797749356,      -9.855485966
          0,           0,         202,      -3.838206356,      -3.040064752,      -3.084957969,      -1.796253676,      -9.853312985
          0,           0,         203,       -3.83708369,      -3.038763587,      -3.081965025,      -1.794942471,      -9.851177772
          0,           0,         204,      -3.836153929,      -3.037620002,      -3.079298488,      -1.793812715,      -9.849062001
          0,           0,         205,      -3.835406166,      -3.036599062,      -3.076972225,      -1.792857024,      -9.847051416
          0,           0,         206,      -3.834824654,      -3.035659467,      -3.074991495,      -1.792063528,       -9.84522346
          0,           0,         207,      -3.834389053,      -3.034755944,      -3.073353049,      -1.791415951,      -9.843433628
          0,           0,         208,      -3.834074917,      -3.033841995,      -3.072045523,      -1.790893924,      -9.841654295
          0,           0,         209,      -3.833854426,      -3.032872838,      -3.071050111,      -1.790473536,      -9.839872964
          0,           0,         210,      -3.833697339,      -3.031808342,      -3.070341482,      -1.790128111,      -9.838017374
          0,           0,         211,      -3.833572093,      -3.030615715,      -3.069888933,       -1.78982915,      -9.836191001
          0,           0,         212,      -3.833447024,      -3.029271719,       -3.06965772,        -1.7895474,      -9.834414274
          0,           0,         213,       -3.83329162,      -3.027764223,      -3.069610529,      -1.789254006,      -9.832708192
          0,           0,         214,      -3.833077731,      -3.026092916,      -3.069709019,      -1.788921662,      -9.830889952
          0,           0,         215,       -3.83278067,      -3.024269154,      -3.069915378,      -1.788525688,      -9.829027418
          0,           0,         216,      -3.832380088,      -3.022314942,      -3.070193777,      -1.788044956,      -9.826950637
          0,           0,         217,      -3.831860616,      -3.020261183,      -3.070511663,       -1.78746261,      -9.824832181
          0,           0,         218,      -3.831212218,      -3.018145366,      -3.070840795,       -1.78676656,      -9.822772555
          0,           0,         219,      -3.830430252,      -3.016008925,      -3.071157964,      -1.785949722,       -9.82078486
          0,           0,         220,      -3.829515246,      -3.013894498,      -3.071445344,      -1.785009966,      -9.818797135
          0,           0,         221,      -3.828472449,      -3.011843295,      -3.071690453,      -1.783949868,      -9.816636711
          0,           0,         222,      -3.827311234,      -3.009892773,      -3.071885756,      -1.782776283,      -9.814319938
          0,           0,         223,      -3.826044419,      -3.008074715,      -3.072027964,      -1.781499828,      -9.812022025
          0,           0,         224,      -3.824687549,       -3.00641383,      -3.072117067,      -1.780134267,      -9.809872357
          0,           0,         225,      -3.823258253,      -3.004926875,      -3.072155237,      -1.778695938,       -9.80778138
          0,           0,         226,      -3.821775707,      -3.003622338,      -3.072145688,      -1.777203246,      -9.805678859
          0,           0,         227,      -3.820260243,      -3.002500623,      -3.072091601,      -1.775676259,      -9.803548917
          0,           0,         228,      -3.818733069,       -3.00155471,      -3.071995194,      -1.774136369,      -9.801350899
          0,           0,         229,      -3.817216129,      -3.000771223,      -3.071857024,      -1.772606082,      -9.799227073
          0,           0,         230,      -3.815732075,      -3.000131825,      -3.071675565,      -1.771108891,      -9.797234981
          0,           0,         231,      -3.814304294,      -2.999614862,      -3.071447114,      -1.769669206,      -9.795279667
          0,           0,         232,      -3.812956916,      -2.999197143,      -3.071165983,      -1.768312259,      -9.793331004
          0,           0,         233,      -3.811714795,      -2.998855756,      -3.070824976,      -1.767063992,      -9.791511323
          0,           0,         234,       -3.81060342,      -2.998569812,      -3.070416117,      -1.765950887,      -9.789771644
          0,           0,         235,      -3.809648712,       -2.99832199,      -3.069931545,      -1.764999715,      -9.787970069
          0,           0,         236,      -3.808876669,       -2.99809979,      -3.069364499,      -1.764237128,        -9.7861444
          0,           0,         237,       -3.80831289,      -2.997896413,      -3.068710307,      -1.763689167,      -9.784532891
          0,           0,         238,      -3.807981966,      -2.997711213,      -3.067967298,      -1.763380646,      -9.782980617
          0,           0,         239,      -3.807906779,      -2.997549679,      -3.067137565,      -1.763334468,      -9.781478325
          0,           0,         240,      -3.808107694,      -2.997422989,      -3.066227496,      -1.763570829,      -9.780136211
          0,           0,         241,      -3.808601707,      -2.997347155,      -3.065248038,      -1.764106393,        -9.7788168
          0,           0,         242,      -3.809401592,      -2.997341851,      -3.064214676,      -1.764953469,      -9.777496223
          0,           0,         243,      -3.810515074,      -2.997429004,      -3.063147153,      -1.766119214,      -9.776245168
          0,           0,         244,      -3.811944038,      -2.997631246,       -3.06206891,      -1.767604865,      -9.775274597
          0,           0,         245,      -3.813683839,      -2.997970337,      -3.061006334,      -1.769405066,      -9.774332897
          0,           0,         246,       -3.81572274,       -2.99846564,      -3.059987854,      -1.771507322,      -9.773479415
          0,           0,         247,      -3.818041512,       -2.99913273,      -3.059042956,      -1.773891615,      -9.772759913
          0,           0,         248,      -3.820613196,      -2.999982196,      -3.058201165,      -1.776530169,      -9.772049047
          0,           0,         249,      -3.823403094,      -3.001018687,      -3.057491048,      -1.779387438,      -9.771333418
          0,           0,         250,      -3.826368998,      -3.002240234,      -3.056939294,      -1.782420344,      -9.770709297
          0,           0,         251,      -3.829461703,       -3.00363787,      -3.056569884,      -1.785578797,      -9.770390856
          0,           0,         252,      -3.832625812,      -3.005195569,      -3.056403385,      -1.788806504,      -9.770153327
          0,           0,         253,      -3.835800845,      -3.006890492,      -3.056456361,      -1.792042096,      -9.769895128
          0,           0,         254,      -3.838922683,       -3.00869357,      -3.056740904,      -1.795220594,      -9.769662559
          0,           0,         255,        -3.8419253,      -3.010570381,       -3.05726428,      -1.798275172,      -9.769370404
          0,           0,         256,      -3.844742773,      -3.012482313,      -3.058028672,      -1.801139198,      -9.769035264
          0,           0,         257,      -3.847311491,      -3.014387982,      -3.059031023,       -1.80374849,      -9.768747705
          0,           0,         258,      -3.849572479,      -3.016244829,      -3.060262949,       -1.80604368,      -9.768639619
          0,           0,         259,      -3.851473731,      -3.018010846,      -3.061710735,      -1.807972582,      -9.768610937
          0,           0,         260,      -3.852972392,      -3.019646334,      -3.063355396,      -1.809492411,      -9.768443142
          0,           0,         261,      -3.854036687,      -3.021115586,      -3.065172828,       -1.81057172,      -9.768185585
          0,           0,         262,      -3.854647431,      -3.022388395,      -3.067134034,      -1.811191913,      -9.767814635
          0,           0,         263,      -3.854799041,      -3.023441294,      -3.069205469,      -1.811348234,      -9.767289112
          0,           0,         264,      -3.854499971,      -3.024258439,      -3.071349511,      -1.811050161,      -9.766817289
          0,           0,         265,      -3.853772543,      -3.024832092,      -3.073525079,      -1.810321183,      -9.766404491
          0,           0,         266,      -3.852652213,      -3.025162674,      -3.075688436,         -1.809198,      -9.765986102
          0,           0,         267,      -3.851186337,      -3.025258423,      -3.077794183,      -1.807729215,      -9.765564042
          0,           0,         268,      -3.849432535,      -3.025134696,      -3.079796451,      -1.805973635,      -9.764983115
          0,           0,         269,      -3.847456791,         -3.024813,      -3.081650301,      -1.803998311,        -9.7643122
          0,           0,         270,        -3.8453314,      -3.024319851,      -3.083313275,      -1.801876435,      -9.763665094
          0,           0,         271,      -3.843132885,      -3.023685553,      -3.084747074,      -1.799685229,       -9.76310321
          0,           0,         272,      -3.840939981,      -3.022943014,      -3.085919274,      -1.797503904,       -9.76269443
          0,           0,         273,      -3.838831752,      -3.022126642,      -3.086804974,      -1.795411781,      -9.762437237
