"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,         225,      -4.982139076,      -2.017740019,      -2.032934416,      -2.034600174,      0.4930238326
          0,           0,         226,        -4.9936312,      -2.027265392,      -2.044907788,      -2.045224107,      0.4813716998
          0,           0,         227,      -5.005215025,      -2.038134644,      -2.057363969,      -2.056374351,      0.4696253656
          0,           0,         228,      -5.016579228,      -2.050208424,      -2.070131076,      -2.067927605,      0.4581121572
          0,           0,         229,      -5.027412466,      -2.063318265,      -2.083015221,      -2.079741044,       0.447164414
          0,           0,         230,      -5.037417705,      -2.077262549,      -2.095806234,      -2.091653809,      0.4371009866
          0,           0,         231,      -5.046344094,      -2.091802221,      -2.108283489,      -2.103490716,      0.4281931055
          0,           0,         232,      -5.054017359,      -2.106661865,      -2.120224357,       -2.11506717,      0.4206314493
          0,           0,         233,      -5.060358071,      -2.121532137,      -2.131415138,      -2.126194479,      0.4145045575
          0,           0,         234,      -5.065382653,      -2.136080807,       -2.14166312,      -2.136688691,      0.4097954119
          0,           0,         235,      -5.069191454,      -2.149972826,      -2.150810863,      -2.146381069,      0.4063940302
          0,           0,         236,      -5.071940203,       -2.16289261,      -2.158749448,      -2.155129226,      0.4041267526
          0,           0,         237,      -5.073820666,      -2.174572754,      -2.165430659,      -2.162829479,      0.4027794033
          0,           0,         238,      -5.075052687,      -2.184821917,      -2.170875336,      -2.169428886,      0.4021087992
          0,           0,         239,      -5.075881444,      -2.193546785,      -2.175175868,        -2.1749337,      0.4018480649
          0,           0,         240,      -5.076567002,      -2.200762461,      -2.178487396,      -2.179411469,      0.4017185011
          0,           0,         241,      -5.077370374,      -2.206590299,       -2.18101405,      -2.182985622,      0.4014439362
          0,           0,         242,      -5.078537592,      -2.211241095,      -2.182991404,      -2.185825032,      0.4007663407
          0,           0,         243,      -5.080288398,      -2.214991754,      -2.184667887,      -2.188130157,      0.3994569187
          0,           0,         244,      -5.082809788,      -2.218158932,      -2.186289455,       -2.19011773,      0.3973217297
          0,           0,         245,      -5.086253903,      -2.221073739,      -2.188087114,      -2.192006579,      0.3942037113
          0,           0,         246,      -5.090737247,      -2.224059458,      -2.190267801,      -2.194005156,      0.3899832591
          0,           0,         247,      -5.096341468,      -2.227417035,      -2.193008959,       -2.19630272,      0.3845768059
          0,           0,         248,      -5.103113833,      -2.231414321,      -2.196454783,      -2.199063324,       0.377935693
          0,           0,         249,      -5.111069789,      -2.236281959,       -2.20071588,      -2.202421678,      0.3700437977
          0,           0,         250,      -5.120192316,       -2.24221202,      -2.205868351,      -2.206481334,      0.3609179206
          0,           0,         251,      -5.130435601,      -2.249362044,      -2.211954818,      -2.211314918,      0.3506039676
          0,           0,         252,      -5.141716941,      -2.257856246,      -2.218984827,      -2.216962918,       0.339184916
          0,           0,         253,      -5.153917023,      -2.267789257,      -2.226934474,      -2.223436268,       0.326780729
