"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,         360,     -0.5276663082,       2.648928508,       2.740787046
          0,           0,         361,     -0.5276663109,       2.648893716,       2.740752262
          0,           0,         362,     -0.5276663099,       2.648909611,       2.740768154
          0,           0,         363,     -0.5276663076,       2.648947757,       2.740806292
          0,           0,         364,     -0.5276663061,       2.648964985,       2.740823517
          0,           0,         365,     -0.5276663074,       2.648946209,       2.740804744
          0,           0,         366,     -0.5276663102,       2.648910858,       2.740769401
          0,           0,         367,     -0.5276663073,       2.648947838,       2.740806372
          0,           0,         368,     -0.5276663028,       2.649012831,       2.740871354
          0,           0,         369,     -0.5276663076,       2.648946891,       2.740805427
          0,           0,         370,     -0.5276663069,       2.648961566,       2.740820099
          0,           0,         371,     -0.5276663076,       2.648949249,       2.740807784
          0,           0,         372,     -0.5276663056,       2.648979404,       2.740837933
          0,           0,         373,     -0.5276663044,        2.64899593,       2.740854456
          0,           0,         374,     -0.5276663016,       2.649036376,       2.740894895
          0,           0,         375,     -0.5276663063,       2.648965742,       2.740824274
          0,           0,         376,     -0.5276663089,       2.648929491,        2.74078803
          0,           0,         377,     -0.5276663084,       2.648935809,       2.740794347
          0,           0,         378,     -0.5276663088,       2.648926677,       2.740785217
          0,           0,         379,     -0.5276663101,       2.648910001,       2.740768543
          0,           0,         380,     -0.5276663064,        2.64896176,       2.740820292
          0,           0,         381,     -0.5276663037,       2.648999227,       2.740857753
          0,           0,         382,      -0.527666308,       2.648942386,       2.740800922
          0,           0,         383,     -0.5276663086,       2.648929933,       2.740788472
          0,           0,         384,     -0.5276663068,       2.648960396,       2.740818929
          0,           0,         385,      -0.527666306,       2.648969953,       2.740828484
          0,           0,         386,     -0.5276663035,       2.649005396,        2.74086392
          0,           0,         387,     -0.5276663092,        2.64892884,       2.740787379
          0,           0,         388,     -0.5276663057,       2.648977836,       2.740836365
          0,           0,         389,     -0.5276663099,       2.648920746,       2.740779286
          0,           0,         390,     -0.5276663061,       2.648969662,       2.740828193
          0,           0,         391,     -0.5276663038,       2.649006066,        2.74086459
          0,           0,         392,     -0.5276663042,        2.64900109,       2.740859615
          0,           0,         393,     -0.5276663051,       2.648988418,       2.740846946
          0,           0,         394,     -0.5276663055,       2.648980344,       2.740838873
          0,           0,         395,     -0.5276663083,       2.648941927,       2.740800463
          0,           0,         396,     -0.5276663101,       2.648919591,       2.740778132
          0,           0,         397,      -0.527666307,       2.648958936,       2.740817469
          0,           0,         398,     -0.5276663081,       2.648943495,       2.740802031
          0,           0,         399,     -0.5276663059,       2.648972266,       2.740830796
          0,           0,         400,     -0.5276663017,       2.649033183,       2.740891701
          0,           0,         401,      -0.527666303,        2.64901687,       2.740875391
          0,           0,         402,     -0.5276663069,       2.648960218,       2.740818751
          0,           0,         403,      -0.527666303,       2.649015226,       2.740873748
          0,           0,         404,     -0.5276663046,        2.64899514,       2.740853666
          0,           0,         405,     -0.5276663028,       2.649021698,       2.740880218
          0,           0,         406,     -0.5276663045,       2.648997931,       2.740856457
          0,           0,         407,     -0.5276663031,       2.649018378,       2.740876899
          0,           0,         408,     -0.5276663039,       2.649007111,       2.740865635
          0,           0,         409,     -0.5276663026,       2.649025752,       2.740884272
          0,           0,         410,      -0.527666303,       2.649021654,       2.740880175
          0,           0,         411,     -0.5276663025,       2.649028778,       2.740887298
          0,           0,         412,     -0.5276663049,       2.648992848,       2.740851375
          0,           0,         413,     -0.5276663045,        2.64899528,       2.740853806
          0,           0,         414,     -0.5276663036,       2.649008164,       2.740866688
          0,           0,         415,     -0.5276663052,       2.648986561,       2.740845089
          0,           0,         416,     -0.5276663053,       2.648984937,       2.740843465
          0,           0,         417,     -0.5276663046,       2.648993271,       2.740851798
          0,           0,         418,     -0.5276663037,       2.649006941,       2.740865465
          0,           0,         419,     -0.5276663064,       2.648973262,       2.740831792
          0,           0,         420,     -0.5276663041,       2.649004184,       2.740862708
          0,           0,         421,     -0.5276663043,       2.649000208,       2.740858733
          0,           0,         422,     -0.5276663049,       2.648993347,       2.740851873
          0,           0,         423,     -0.5276663049,       2.648991701,       2.740850227
          0,           0,         424,     -0.5276663046,       2.648998776,       2.740857302
          0,           0,         425,      -0.527666305,       2.648991645,       2.740850173
          0,           0,         426,     -0.5276663024,       2.649036968,       2.740895486
          0,           0,         427,     -0.5276663004,       2.649060637,       2.740919151
